Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price,Storage Type
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600 WQXGA,Intel Core i5 2.3GHz,8,128,Intel Iris Plus Graphics 640,macOS,71378.6832,SSD
Apple,Ultrabook,13.3,1440x900 WXGA,Intel Core i5 1.8GHz,8,128 ,Intel HD Graphics 6000,macOS,47895.5232,Other
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,No OS,30636.0,SSD
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512,AMD Radeon Pro 455,macOS,135195.33599999998,SSD
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600 WQXGA,Intel Core i5 3.1GHz,8,256,Intel Iris Plus Graphics 650,macOS,96095.808,SSD
Acer,Notebook,15.6,1366x768 HD Ready,AMD A9-Series 9420 3GHz,4,500 ,AMD Radeon R5,Windows 10,21312.0,Other
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256 ,Intel Iris Pro Graphics,Mac OS X,114017.6016,Other
Apple,Ultrabook,13.3,1440x900 WXGA,Intel Core i5 1.8GHz,8,256 ,Intel HD Graphics 6000,macOS,61735.536,Other
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce MX150,Windows 10,79653.59999999999,SSD
Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,41025.6,SSD
HP,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,4,500 ,Intel HD Graphics 620,No OS,20986.992,Other
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500 ,Intel HD Graphics 520,No OS,18381.0672,Other
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256,AMD Radeon Pro 555,macOS,130001.6016,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 M430,Windows 10,26581.392,SSD
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256,Intel HD Graphics 615,macOS,67260.672,SSD
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600 WQXGA,Intel Core i5 2.3GHz,8,256,Intel Iris Plus Graphics 640,macOS,80908.344,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R5 M430,Windows 10,39693.6,SSD
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512,AMD Radeon Pro 560,macOS,152274.24,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1 ,Nvidia GeForce 940MX,No OS,26586.72,Other
Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128,Intel UHD Graphics 620,Windows 10,52161.12,SSD
Asus,Netbook,11.6,1366x768 HD Ready,Intel Atom x5-Z8350 1.44GHz,2,32 ,Intel HD Graphics 400,Windows 10,10224.432,Other
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128 +  1 ,Nvidia GeForce GTX 1050,Windows 10,53226.72,SSD
HP,Notebook,15.6,1366x768 HD Ready,AMD E-Series E2-9000e 1.5GHz,4,500 ,AMD Radeon R2,No OS,13746.24,Other
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,43636.32,SSD
HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel HD Graphics 620,Windows 10,35111.52,SSD
Dell,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2GHz,4,1 ,Intel HD Graphics 520,Windows 10,22305.1392,Other
Apple,Ultrabook,13.3,1440x900 WXGA,Intel Core i5 1.6GHz,8,128 ,Intel HD Graphics 6000,Mac OS X,58554.72,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 530,Windows 10,42624.0,SSD
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256 +  256,Intel UHD Graphics 620,Windows 10,69157.44,SSD
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1 ,Nvidia GeForce 930MX,Windows 10,47738.88,Other
Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64 ,Intel HD Graphics,Windows 10,13053.0672,Other
Asus,Notebook,14.0,1366x768 HD Ready,AMD E-Series E2-6110 1.5GHz,2,32 ,AMD Radeon R2,Windows 10,10602.72,Other
HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500 ,AMD Radeon 530,Windows 10,23389.92,Other
Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,99580.32,SSD
Apple,Ultrabook,13.3,1440x900 WXGA,Intel Core i5 1.6GHz,8,256 ,Intel HD Graphics 6000,Mac OS X,53173.44,Other
Lenovo,Notebook,14.0,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,4,64 ,Intel HD Graphics 500,Windows 10,13266.72,Other
Acer,Notebook,15.6,1366x768 HD Ready,Intel Core i3 7130U 2.7GHz,4,1 ,Intel HD Graphics 620,Linux,19553.76,Other
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128 +  1 ,AMD Radeon 530,Windows 10,52161.12,SSD
HP,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,4,1 ,Intel HD Graphics 620,Windows 10,26037.4032,Other
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 930MX ,Windows 10,46833.12,SSD
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1 ,Intel HD Graphics 620,Linux,20725.92,Other
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1060,Windows 10,79866.72,SSD
Asus,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,8,1 ,Nvidia GeForce 940MX,Linux,27864.9072,Other
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256,Intel UHD Graphics 620,Windows 10,36336.96,SSD
Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1 ,Nvidia GeForce 150MX,Windows 10,53226.72,Other
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600 WQXGA,Intel Core i5 2.0GHz,8,256,Intel Iris Graphics 540,macOS,75604.31999999999,SSD
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,No OS,19660.32,SSD
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,256 +  1 ,AMD Radeon RX 580,Windows 10,69210.72,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256,AMD Radeon R5 M430,Windows 10,34045.92,SSD
Asus,Notebook,17.3,1366x768 HD Ready,Intel Pentium Quad Core N4200 1.1GHz,4,1 ,Nvidia GeForce 920MX,Windows 10,24828.48,Other
Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64 ,Intel HD Graphics 400,Android,16996.32,Other
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce MX150,Windows 10,44808.48,SSD
HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256,AMD Radeon R4 Graphics,Windows 10,21231.5472,SSD
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,58767.84,SSD
Acer,Notebook,15.6,1366x768 HD Ready,Intel Core i3 7100U 2.4GHz,4,1 ,Intel HD Graphics 620,Windows 10,20459.52,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 520,Windows 10,40908.384,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,23389.92,SSD
Asus,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,4,256,Intel HD Graphics 620,Windows 10,31232.203200000004,SSD
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  2 ,Nvidia GeForce GTX 1070,Windows 10,130482.72,SSD
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256,Intel HD Graphics 520,Linux,22111.2,SSD
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256 +  2 ,AMD Radeon 530,Windows 10,69210.72,SSD
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,46833.12,SSD
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,256,Intel HD Graphics 620,No OS,31914.72,SSD
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,50136.48,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,36763.2,SSD
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050 Ti,Windows 10,105654.24,SSD
HP,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2GHz,4,500 ,AMD Radeon 520,Windows 10,23373.4032,Other
HP,Notebook,14.0,1366x768 HD Ready,Intel Celeron Dual Core N3060 1.6GHz,4,32,Intel HD Graphics 400,Windows 10,12201.12,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1 ,Intel HD Graphics 620,Windows 10,29250.72,Other
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1 ,Nvidia GeForce GTX 1050 Ti,Linux,50562.72,Other
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,Windows 10 S,58021.92,SSD
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,50882.4,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,46353.6,SSD
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128 +  1 ,Nvidia GeForce GTX 1050,Windows 10,58341.6,SSD
Acer,Notebook,14.0,1366x768 HD Ready,Intel Core i3 6006U 2GHz,8,1 ,Intel HD Graphics 520,Windows 10,20725.92,Other
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1 ,Nvidia GeForce GTX 1050,Windows 10,50562.72,Other
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,2 ,Intel HD Graphics 620,No OS,27652.32,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128 +  1 ,Intel UHD Graphics 620,Windows 10,45554.4,SSD
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1 ,Nvidia GeForce MX130,Windows 10,28238.4,Other
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128 +  1 ,Nvidia GeForce 930MX,Windows 10,52054.56,SSD
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,58403.4048,SSD
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8,512,Intel HD Graphics 615,macOS,80452.8,SSD
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel HD Graphics 620,Windows 10,45820.8,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128,AMD R4 Graphics,Windows 10,21258.72,SSD
Acer,Notebook,15.6,1366x768 HD Ready,AMD A9-Series 9420 3GHz,4,1 ,AMD Radeon R5,Windows 10,21045.6,Other
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128 +  1 ,Nvidia GeForce GTX 1050 Ti,Windows 10,71874.72,SSD
HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce GTX 940MX,Windows 10,37242.72,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,31914.1872,SSD
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128 +  1 ,Nvidia GeForce GTX 1060,Windows 10,77202.72,SSD
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,87858.72,SSD
Asus,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8,1 ,AMD Radeon RX 560,Windows 10,37242.72,Other
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1 ,Nvidia GeForce MX150,Windows 10,36709.92,Other
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,63776.16,SSD
